time,lat,lon,sog,cog,tws
2024-06-15T10:00:00,42.2328,-8.7226,5.2,220,12.5
2024-06-15T10:00:01,42.2327,-8.7227,5.3,220,12.6
2024-06-15T10:00:02,42.2326,-8.7228,5.4,220,12.8
2024-06-15T10:00:03,42.2325,-8.7229,5.5,221,12.7
2024-06-15T10:00:04,42.2324,-8.7230,5.6,222,12.5
2024-06-15T10:00:05,42.2323,-8.7231,5.8,223,12.4
2024-06-15T10:00:06,42.2322,-8.7232,5.9,224,12.3
2024-06-15T10:00:07,42.2321,-8.7233,6.0,225,12.5
2024-06-15T10:00:08,42.2320,-8.7234,6.1,225,12.6
2024-06-15T10:00:09,42.2319,-8.7235,6.0,225,12.7
2024-06-15T10:00:10,42.2318,-8.7236,5.9,225,12.8
